Index,Bulan,USD
305,Mei 2026,17789.0
304,April 2026,17324.0
303,Maret 2026,16993.0
302,Februari 2026,16758.0
301,Januari 2026,16786.0
300,Desember 2025,16782.0
299,November 2025,16644.0
298,Oktober 2025,16640.0
297,September 2025,16680.0
296,Agustus 2025,16356.0
295,Juli 2025,16387.0
294,Juni 2025,16233.0
293,Mei 2025,16255.0
292,April 2025,16787.0
291,Maret 2025,16588.0
290,Februari 2025,16431.0
289,Januari 2025,16259.0
288,Desember 2024,16162.0
287,November 2024,15864.0
286,Oktober 2024,15732.0
285,September 2024,15138.0
284,Agustus 2024,15409.0
283,Juli 2024,16320.0
282,Juni 2024,16421.0
281,Mei 2024,16253.0
280,April 2024,16249.0
279,Maret 2024,15853.0
278,Februari 2024,15673.0
277,Januari 2024,15796.0
276,Desember 2023,15416.0
275,November 2023,15384.0
274,Oktober 2023,15916.0
273,September 2023,15526.0
272,Agustus 2023,15239.0
271,Juli 2023,15083.0
270,Juni 2023,15026.0
269,Mei 2023,14969.0
268,April 2023,14751.0
267,Maret 2023,15062.0
266,Februari 2023,15274.0
265,Januari 2023,14979.0
264,Desember 2022,15731.0
263,November 2022,15737.0
262,Oktober 2022,15542.0
261,September 2022,15247.0
260,Agustus 2022,14875.0
259,Juli 2022,14958.0
258,Juni 2022,14848.0
257,Mei 2022,14544.0
256,April 2022,14418.0
255,Maret 2022,14349.0
254,Februari 2022,14371.0
253,Januari 2022,14381.0
252,Desember 2021,14269.0
251,November 2021,14340.0
250,Oktober 2021,14199.0
249,September 2021,14307.0
248,Agustus 2021,14374.0
247,Juli 2021,14491.0
246,Juni 2021,14496.0
245,Mei 2021,14310.0
244,April 2021,14468.0
243,Maret 2021,14572.0
242,Februari 2021,14229.0
241,Januari 2021,14084.0
240,Desember 2020,14105.0
239,November 2020,14128.0
238,Oktober 2020,14690.0
237,September 2020,14918.0
236,Agustus 2020,14554.0
235,Juli 2020,14653.0
234,Juni 2020,14302.0
233,Mei 2020,14733.0
232,April 2020,15157.0
231,Maret 2020,16367.0
230,Februari 2020,14234.0
229,Januari 2020,13662.0
228,Desember 2019,13901.0
227,November 2019,14102.0
226,Oktober 2019,14008.0
225,September 2019,14174.0
224,Agustus 2019,14237.0
223,Juli 2019,14026.0
222,Juni 2019,14141.0
221,Mei 2019,14385.0
220,April 2019,14215.0
219,Maret 2019,14244.0
218,Februari 2019,14062.0
217,Januari 2019,14072.0
216,Desember 2018,14481.0
215,November 2018,14339.0
214,Oktober 2018,15227.0
213,September 2018,14929.0
212,Agustus 2018,14711.0
211,Juli 2018,14413.0
210,Juni 2018,14404.0
209,Mei 2018,13951.0
208,April 2018,13877.0
207,Maret 2018,13756.0
206,Februari 2018,13707.0
205,Januari 2018,13413.0
204,Desember 2017,13548.0
203,November 2017,13514.0
202,Oktober 2017,13572.0
201,September 2017,13492.0
200,Agustus 2017,13351.0
199,Juli 2017,13323.0
198,Juni 2017,13319.0
197,Mei 2017,13321.0
196,April 2017,13327.0
195,Maret 2017,13321.0
194,Februari 2017,13347.0
193,Januari 2017,13343.0
192,Desember 2016,13436.0
191,November 2016,13563.0
190,Oktober 2016,13051.0
189,September 2016,12998.0
188,Agustus 2016,13300.0
187,Juli 2016,13094.0
186,Juni 2016,13180.0
185,Mei 2016,13615.0
184,April 2016,13204.0
183,Maret 2016,13276.0
182,Februari 2016,13395.0
181,Januari 2016,13846.0
180,Desember 2015,13795.0
