Tahun,USD,JPY,DEM,NLG,GBP,FRH,CHF,SGD,MYR,HKD,AUD,CAD
2026,0,0,0,0,0,0,0,0,0,0,0,0
Mei,"17,789.00","11,174.00",0,0,"23,970.70",0,"22,677.05","13,924.31","4,485.40","2,270.21","12,743.16","12,885.92"
April,"17,324.00","10,850.00",0,0,"23,397.00",2,"21,953.00","13,565.00","4,385.00","2,211.00","12,409.00","12,663.00"
Maret,"16,993.00","10,635.00",0,0,"22,508.00",1,"21,245.00","13,182.00","4,216.00","2,169.00","11,642.00","12,217.00"
Februari,"16,758.00","10,739.00",0,0,"22,701.00",0,"21,713.00","13,270.00","4,311.00","2,142.00","11,937.00","12,267.00"
Januari,"16,786.00","10,949.00",0,0,"23,218.00",0,"21,898.00","13,291.00","4,270.00","2,151.00","11,867.00","12,409.00"
2025,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"16,782.00","10,759.00",0,0,"22,666.00",5,"21,274.00","13,069.00","4,144.00","2,157.00","11,255.00","12,264.00"
November,"16,644.00","10,661.00",0,0,"22,035.00",5,"20,682.00","12,834.00","4,029.00","2,140.00","10,872.00","11,859.00"
Oktober,"16,640.00","10,847.00",0,0,"21,961.00",4,"20,835.00","12,814.00","3,963.00","2,142.00","10,950.00","11,937.00"
September,"16,680.00","11,226.00",0,0,"22,428.00",3,"20,961.00","12,934.00","3,960.00","2,144.00","10,957.00","11,984.00"
Agustus,"16,356.00","11,113.00",0,0,"22,079.00",3,"20,413.00","12,728.00","3,871.00","2,098.00","10,656.00","11,871.00"
Juli,"16,387.00","11,067.00",0,0,"21,894.00",2,"20,360.00","12,726.00","3,866.00","2,088.00","10,655.00","11,902.00"
Juni,"16,233.00","11,268.00",0,0,"22,298.00",1,"20,257.00","12,748.00","3,844.00","2,068.00","10,606.00","11,846.00"
Mei,"16,255.00","11,308.00",0,0,"21,985.00",0,"19,703.00","12,626.00","3,837.00","2,074.00","10,480.00","11,808.00"
April,"16,787.00","11,789.00",0,0,"22,532.00",0,"20,387.00","12,847.00","3,885.00","2,164.00","10,794.00","12,148.00"
Maret,"16,588.00","11,030.00",0,0,"21,417.00",0,"18,771.00","12,406.00","3,745.00","2,134.00","10,481.00","11,640.00"
Februari,"16,431.00","11,008.00",0,0,"20,813.00",0,"18,330.00","12,257.00","3,701.00","2,113.00","10,347.00","11,459.00"
Januari,"16,259.00","10,524.00",0,0,"20,246.00",0,"17,939.00","12,046.00","3,701.00","2,087.00","10,117.00","11,276.00"
2024,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"16,162.00","10,236.00",0,0,"20,333.00",0,"17,921.00","11,919.00","3,616.00","2,082.00","10,082.00","11,225.00"
November,"15,864.00","10,453.00",0,0,"20,068.00",0,"17,945.00","11,806.00","3,567.00","2,039.00","10,283.00","11,310.00"
Oktober,"15,732.00","10,260.00",0,0,"20,465.00",0,"18,137.00","11,878.00","3,587.00","2,025.00","10,319.00","11,303.00"
September,"15,138.00","10,566.00",0,0,"20,237.00",0,"17,900.00","11,788.00","3,675.00","1,946.00","10,417.00","11,222.00"
Agustus,"15,409.00","10,649.00",0,0,"20,357.00",0,"18,295.00","11,838.00","3,564.00","1,976.00","10,489.00","11,447.00"
Juli,"16,320.00","10,540.00",0,0,"20,972.00",0,"18,411.00","12,144.00","3,533.00","2,089.00","10,692.00","11,785.00"
Juni,"16,421.00","10,228.00",0,0,"20,746.00",0,"18,299.00","12,096.00","3,479.00","2,103.00","10,940.00","11,997.00"
Mei,"16,253.00","10,353.00",0,0,"20,656.00",0,"17,860.00","12,023.00","3,453.00","2,079.00","10,742.00","11,847.00"
April,"16,249.00","10,445.00",0,0,"20,366.00",0,"17,828.00","11,949.00","3,404.00","2,076.00","10,667.00","11,900.00"
Maret,"15,853.00","10,451.00",0,0,"20,022.00",0,"17,508.00","11,766.00","3,351.00","2,026.00","10,346.00","11,660.00"
Februari,"15,673.00","10,396.00",0,0,"19,840.00",0,"17,790.00","11,647.00","3,291.00","2,003.00","10,200.00","11,563.00"
Januari,"15,796.00","10,723.00",0,0,"20,057.00",0,"18,346.00","11,796.00","3,341.00","2,021.00","10,447.00","11,782.00"
2023,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"15,416.00","10,955.00",0,0,"19,760.00",0,"18,374.00","11,712.00","3,342.00","1,973.00","10,565.00","11,689.00"
November,"15,384.00","10,442.00",0,0,"19,542.00",0,"17,529.00","11,554.00","3,306.00","1,973.00","10,202.00","11,342.00"
Oktober,"15,916.00","10,645.00",0,0,"19,254.00",0,"17,608.00","11,636.00","3,341.00","2,035.00","10,116.00","11,485.00"
September,"15,526.00","10,420.00",0,0,"18,861.00",0,"16,942.00","11,334.00","3,300.00","1,985.00","9,906.00","11,484.00"
Agustus,"15,239.00","10,410.00",0,0,"19,256.00",0,"17,316.00","11,265.00","3,281.00","1,942.00","9,852.00","11,238.00"
Juli,"15,083.00","10,791.00",0,0,"19,273.00",0,"17,270.00","11,307.00","3,311.00","1,934.00","9,990.00","11,386.00"
Juni,"15,026.00","10,492.00",0,0,"19,142.00",0,"16,787.00","11,102.00","3,213.00","1,919.00","10,030.00","11,422.00"
Mei,"14,969.00","10,673.00",0,0,"18,499.00",0,"16,513.00","11,053.00","3,245.00","1,911.00","9,781.00","11,020.00"
April,"14,751.00","11,024.00",0,0,"18,380.00",0,"16,533.00","11,046.00","3,307.00","1,879.00","9,765.00","10,818.00"
Maret,"15,062.00","11,371.00",0,0,"18,603.00",0,"16,422.00","11,342.00","3,407.00","1,919.00","10,108.00","11,124.00"
Februari,"15,274.00","11,224.00",0,0,"18,275.00",0,"16,227.00","11,315.00","3,411.00","1,947.00","10,266.00","11,235.00"
Januari,"14,979.00","11,548.00",0,0,"18,540.00",0,"16,234.00","11,407.00","3,528.00","1,912.00","10,613.00","11,230.00"
2022,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"15,731.00","11,757.00",0,0,"18,926.00",0,"16,968.00","11,659.00","3,556.00","2,019.00","10,581.00","11,566.00"
November,"15,737.00","11,392.00",0,0,"18,954.00",0,"16,607.00","11,459.00","3,490.00","2,014.00","10,575.00","11,727.00"
Oktober,"15,542.00","10,565.00",0,0,"17,901.00",0,"15,626.00","11,006.00","3,291.00","1,980.00","9,980.00","11,425.00"
September,"15,247.00","10,536.00",0,0,"16,436.00",0,"15,487.00","10,563.00","3,281.00","1,942.00","9,824.00","11,092.00"
Agustus,"14,875.00","10,744.00",0,0,"17,456.00",0,"15,330.00","10,656.00","3,319.00","1,895.00","10,303.00","11,451.00"
