iter	RMSE
0	2631.826523
1	2558.07543
2	2491.933382
3	2422.891775
4	2357.099596
5	2292.372669
6	2228.988806
7	2169.459085
8	2111.71878
9	2054.389888
10	1998.358146
11	1945.207769
12	1896.036515
13	1845.818665
14	1796.64952
15	1750.389453
16	1706.29602
17	1662.136643
18	1620.357339
19	1579.313554
20	1539.60691
21	1501.097843
22	1464.264115
23	1429.800128
24	1396.651582
25	1363.011849
26	1330.719575
27	1299.801911
28	1271.007485
29	1241.704449
30	1213.777154
31	1187.380435
32	1160.762491
33	1135.204867
34	1111.784177
35	1090.080118
36	1069.19788
37	1047.24902
38	1026.416246
39	1006.655722
40	986.7064431
41	968.0594606
42	949.5141554
43	931.5704557
44	914.8410916
45	896.6337478
46	880.5154029
47	865.3827363
48	851.2983471
49	837.3446133
50	823.9656874
51	811.237152
52	800.0025187
53	787.8789012
54	776.5773371
55	766.3596743
56	756.8672519
57	746.9319864
58	737.3015795
59	726.1742196
60	717.9907845
61	708.8638524
62	699.5862553
63	692.777618
64	684.1607259
65	677.4909093
66	671.8433425
67	662.5931572
68	656.0737211
69	649.0446311
70	641.3442616
71	635.2431367
72	629.1166392
73	623.4114669
74	615.7594841
75	610.3767155
76	604.7278985
77	599.3646592
78	592.0600309
79	587.7252779
80	583.94336
81	579.9685161
82	573.9730303
83	568.2623837
84	563.8892495
85	560.5943439
86	557.1921924
87	554.2636485
88	549.5490821
89	546.5304368
90	543.1301895
91	539.599095
92	535.1901803
93	533.1599797
94	530.9650657
95	527.8611724
96	525.1797189
97	521.2820733
98	518.7720662
99	516.8591669
100	514.4513967
101	512.0419298
102	508.5524155
103	506.5862412
104	504.6916081
105	501.866893
106	499.9884161
107	497.7272301
108	495.2441828
109	493.7407842
110	491.9100517
111	490.2955945
112	488.5240202
113	487.4878826
114	485.1839204
115	483.3521196
116	481.6917805
117	478.9724125
118	476.8501475
119	475.7792546
120	473.4753993
121	472.1620919
122	471.2256612
123	470.2067929
124	469.3784445
125	468.2377884
126	467.0703573
127	464.2194968
128	462.0627581
129	460.6587161
130	459.8036524
131	458.596641
132	456.2615625
133	454.557054
134	454.0810357
135	453.3279524
136	452.226091
137	450.1384979
138	448.5213287
139	445.9618326
140	445.3876104
141	442.617787
142	440.220916
143	438.7186322
144	436.4430916
145	433.9100186
146	431.5496893
147	429.4019082
148	428.2923334
149	427.1924083
150	427.1113233
151	425.7835506
152	424.6742853
153	423.6480478
154	422.7776544
155	420.9068347
156	420.0792593
157	418.5379412
158	417.7996862
159	416.9917684
160	416.1577353
161	414.9750597
162	412.8993401
163	411.4321415
164	410.0206209
165	409.28091
166	407.4460831
