iter	Passed	Remaining
0	1	1472
1	3	1897
2	5	1949
3	7	1910
4	9	1864
5	11	1822
6	12	1777
7	14	1739
8	15	1716
9	18	1871
10	22	2027
11	25	2082
12	26	2028
13	28	2009
14	30	1980
15	32	2007
16	35	2073
17	38	2076
18	39	2046
19	41	2021
20	43	2014
21	44	1991
22	46	1985
23	48	1975
24	50	1974
25	52	1953
26	53	1933
27	55	1914
28	56	1894
29	58	1877
30	59	1859
31	61	1850
32	63	1848
33	65	1851
34	66	1842
35	68	1827
36	69	1812
37	70	1797
38	72	1783
39	73	1770
40	75	1758
41	76	1752
42	78	1743
43	79	1735
44	81	1725
45	82	1717
46	84	1709
47	85	1703
48	87	1695
49	88	1687
50	90	1680
51	91	1676
52	93	1669
53	95	1664
54	96	1662
55	98	1658
56	100	1656
57	101	1649
58	102	1642
59	104	1635
60	105	1631
61	107	1629
62	109	1624
63	110	1618
64	112	1613
65	113	1607
66	114	1601
67	116	1595
68	117	1589
69	119	1583
70	120	1580
71	122	1575
72	123	1569
73	124	1564
74	126	1558
75	127	1553
76	129	1549
77	130	1544
78	132	1539
79	133	1534
80	134	1530
81	136	1527
82	137	1523
83	139	1522
84	141	1520
85	142	1518
86	144	1514
87	145	1509
88	147	1505
89	148	1501
90	149	1497
91	151	1496
92	153	1494
93	154	1490
94	156	1486
95	157	1482
96	158	1478
97	160	1474
98	161	1470
99	163	1467
100	164	1465
101	166	1461
102	167	1458
103	168	1454
104	170	1451
105	171	1447
106	173	1444
107	174	1441
108	175	1438
109	177	1435
110	178	1431
111	180	1430
112	182	1429
113	183	1427
114	185	1428
115	187	1427
116	188	1424
117	190	1421
118	191	1418
119	192	1415
120	194	1412
121	196	1411
122	197	1409
123	199	1408
124	201	1407
125	202	1405
126	203	1402
127	205	1399
128	206	1397
129	208	1395
130	210	1393
131	211	1390
132	212	1387
133	214	1384
134	215	1381
135	217	1379
136	218	1376
137	219	1374
138	221	1371
139	222	1369
140	224	1366
141	225	1364
142	227	1361
143	228	1359
144	230	1356
145	231	1354
146	232	1351
147	234	1349
148	235	1346
149	237	1344
150	237	1336
151	239	1334
152	240	1332
153	242	1331
154	243	1328
155	245	1326
156	246	1324
157	248	1321
158	249	1318
159	250	1316
160	252	1313
161	253	1311
162	255	1309
163	256	1307
164	257	1305
165	259	1304
166	261	1302
167	262	1299
168	263	1297
169	265	1295
170	266	1292
171	268	1290
172	269	1288
173	271	1286
174	272	1284
175	273	1282
176	275	1280
177	276	1278
178	278	1275
179	279	1274
180	281	1273
181	282	1271
182	284	1270
183	286	1269
184	287	1268
185	289	1267
186	291	1265
187	292	1264
188	294	1264
189	296	1263
190	298	1264
191	300	1264
192	302	1265
193	304	1264
194	306	1264
195	308	1263
196	309	1261
197	310	1259
198	312	1256
199	313	1255
200	315	1253
201	316	1251
202	318	1249
203	319	1247
204	321	1245
205	322	1243
206	324	1241
207	325	1239
208	327	1237
209	328	1236
210	330	1234
211	331	1233
212	333	1231
213	334	1229
214	336	1227
215	337	1225
216	339	1223
217	340	1221
218	341	1219
219	343	1217
220	345	1216
221	346	1214
222	348	1213
223	349	1210
224	350	1208
225	352	1206
226	353	1205
227	355	1203
228	356	1201
229	358	1199
230	359	1197
231	361	1195
232	362	1193
233	364	1191
234	365	1189
235	367	1188
236	368	1186
237	369	1184
238	371	1182
239	372	1180
240	374	1179
241	376	1178
242	377	1176
243	379	1174
244	380	1173
245	382	1171
246	383	1169
247	384	1167
248	386	1165
249	387	1163
250	389	1162
251	391	1160
252	392	1159
253	394	1158
254	396	1157
255	397	1155
256	399	1153
257	400	1151
258	401	1149
259	403	1148
260	404	1146
261	406	1144
262	407	1142
263	409	1140
264	410	1138
265	411	1136
266	413	1135
267	414	1133
268	416	1131
269	417	1129
270	419	1128
271	421	1126
272	422	1125
273	423	1123
274	425	1121
275	426	1119
276	428	1117
277	429	1115
278	430	1113
279	432	1112
280	434	1111
281	436	1110
282	437	1108
283	439	1107
284	440	1105
285	441	1103
286	443	1101
287	444	1099
288	446	1097
289	447	1095
290	448	1093
291	450	1091
292	451	1089
293	453	1088
294	454	1086
295	455	1084
296	457	1082
297	458	1080
298	460	1079
299	461	1077
300	463	1076
301	464	1074
302	466	1073
303	468	1071
304	469	1070
305	471	1068
306	472	1066
307	474	1065
308	476	1064
309	477	1063
310	479	1062
311	481	1061
312	483	1060
313	485	1059
314	486	1058
315	488	1057
316	490	1056
317	491	1055
318	493	1053
319	495	1052
320	496	1050
321	498	1049
322	500	1048
323	501	1046
324	503	1045
325	504	1043
326	506	1042
327	508	1042
328	510	1040
329	511	1038
330	513	1037
331	514	1035
332	516	1033
333	517	1032
334	519	1030
335	520	1028
336	522	1027
337	523	1026
338	525	1024
339	526	1022
340	528	1020
341	529	1018
342	530	1016
343	532	1015
344	533	1013
345	535	1012
346	537	1010
347	538	1009
348	540	1007
